Txn Hash,Method,Block Number,Value,Txn Fee
0xe292f6d823f44f30c8fd28b8db109218c1aabd42522c0ca316ffef9e1cd3f6af,Transfer,19305028,3.077304667 ETH,0.00076873
0xa8efa867c75f717674a56e7ab70ffc49c944a555d44d86c1df4c17031c6deb3f,Transfer,19305028,0.17 ETH,0.00076978
0xef021f04d6d7d20417973867232d19c76b5ebeb89914875857d28bec730bbcf3,Transfer,19305028,0.05249663 ETH,0.00077923
0x30e060ef7d267c597ae380723538b4677dee66dd47bc8c8717d5a6b951f231ca,Transfer,19305028,0.007954979 ETH,0.00078973
0xef0af944cd967263138678de937ada13b0428a26d02b7a211b5a405df9fd84d0,Transfer,19305028,0.00394627 ETH,0.00078973
0x7672e4505a79fc212617397b148d8382555e7ba75109c9e6218cba00b61723d8,Transfer,19305028,0.0312 ETH,0.00078973
0x0aadd48fcf8f634a72a6ce8808ad98a6fdaf53acdcb031bfe1073ec72e4a3128,Transfer,19305028,1.9972 ETH,0.00078973
0x6d568f16f76f6fe9467cf351e148bf36037a25e0e4a8e3e340a4a07111144b21,Transfer,19305028,0.0625346 ETH,0.00078973
0xa9687420be77c281bc7f07018f925ec70d43e945522f8349ea995b1e672d4416,Transfer,19305028,0.02078 ETH,0.00078973
0x0f93cfbdfce454b8d57e3b1271094da28f67a25b80aedaee953fe34489aa52ec,Transfer,19305028,0.24037415 ETH,0.00078973
0xf36ec35cdb9191f87eb97ecd7635c9441b531f12d78433dedf561648ddfa35cd,Transfer,19305028,0.0655 ETH,0.00079846
0x5501060ace9558acf05acdc96e1e30116dbd84487758fa7a2a07a25c0de20713,Transfer,19305028,0.0361 ETH,0.00079846
0x40384012f0b19089f35badd994e9af4b390efcaab97afde56fbc7a9cd298c6fa,Transfer,19305028,0.014290075 ETH,0.00080023
0x7f5e275f90ffb84e2726a4b90b2c0aaf98e53ffae8164f10a2ed510df3c6744b,Transfer,19305028,1.23 ETH,0.00081073
0xbb2f330d3e8bd33ea3e1f8cb58801076a891788704639b042a9c462fd4275b4c,Transfer,19305028,0 ETH,0.00164592
0x0bbc45bd19ce8e311b18241382f964d3ac5911724ce0586845eeaef5977499ff,Swap Exact ETH F...,19305028,0.1 ETH,0.00525927
0x88574c02da0767a1d083e52f22d586deb4b6e34ba860b5803feefdf0a7adfc15,Transfer,19305028,0 ETH,0.00208551
0x69bea23d26eb25eaf2ee086e79acce104fee37bab834bcfcf3f6dc8a2f34a226,Transfer,19305028,0 ETH,0.00147499
0x0954d792d319f2319b7b09d0a1621ac34527c6507df3a17d7a3e6ce31d023937,Register Continu...,19305028,0 ETH,0.01755828
0xc2e7efd51146aa2800023b2858f7983dc7bd06b5eecba145ff6d70afdc1a66ec,Cast Vote,19305028,0 ETH,0.00460101
0x3ebb59458a4f2e1b13c735e8e79366bc89d4935ca80bb8e500f4d5376b10c76e,Refinance,19305028,0 ETH,0.00416656
0x6b3993618ce7090c2d9a7fef40e8d81331519deaeb23573a189d99edecf431cc,Wrap With Permit,19305028,0 ETH,0.0038309
0x03b90c0d4d19b939e67c1a57891341200761dc4457cb4b59cfcd32639ae65776,Transfer,19305028,0 ETH,0.0020331
0x0f0b7f993f282d2d88727943d9af8ce52240ec0361dbacf8a33bb40315bec486,Transfer*,19305028,0 ETH,0.00084719
0x4bd2cc365af537f4f897e0594cd60c99740c4fe77bcb5d5ca3d949aa4268f8cf,Transfer,19305028,0 ETH,0.00110871
0x028602711e9d8f90b5c7412f5308a3ee3a1f4c3c64eecfe0609a36d836ac40bb,0x0d5f0e3b,19305028,0 ETH,0.00561355
0xe6179ae4c6d87fd9c71a90b9bcfd92cf35357581a5362af7bdbdc3f17c5162db,0x0d5f0e3b,19305028,0.65 ETH,0.00682509
0x11e232c28605deadde8dec03c13e9e8b5a6cda3de638ad041509239c29304068,0x9871efa4,19305028,0 ETH,0.00677303
0x433487eb70ed7b1653b232d7ea4bbd1759653593c732c06d90805082b0a8a23b,0x415565b0,19305028,0 ETH,0.0095531
0x17bb385a39e642f9bc73fd761dc19c67e87aae38fcc8f1d24a3ac842c0f41c02,Transfer,19305028,0 ETH,0.00172324
0x52e24463edb4f3c6c19e34b67b0d2d297834b69d5dcb537c3f466f2c76743b2b,0xd46bb835,19305028,0 ETH,0.00483265
0x2a8a3e44a35943efcff6e0be1a2322afcb00261c7d497830a0db781f6e28abe0,Transfer,19305028,0 ETH,0.00232641
0x983d79e1e75c3df83a5e61d13fa645cb2889aca0e4b5779b5818bd6586a99dc1,Swap Exact Token...,19305028,0 ETH,0.00816012
0x736a3379f912ebc97c6008acf7365cda61b20a19f76bae9f8bca00e8f78b6137,Swap Exact Token...,19305028,0 ETH,0.00846696
0x9500265fda02dec4042a3af48c63aeb00abb882d93fb0819e527ec6f39ffee3c,Direct Release,19305028,0 ETH,0.00394294
0xa09b36381d4aef13a1235664f602b8dcc726be3a13037f86de73922889ffea36,Update Prices,19305028,0 ETH,0.00202281
0x4584db1731d7704fdad4d1889cf5cc695feb6d2e0c5eb5c7c58e758eb61bf9a0,0xf8e043a5,19305028,0 ETH,0.01123819
0x2a295e13e162b1cef6149914d76435322dcce11601d2e9c96506fbc418326b59,Send ERC721,19305028,0 ETH,0.00406618
0x4302c2a2f9aa665f3adce6bc710b09f7d58406da12e24979023d5a31a74ad0a8,Transfer,19305028,0 ETH,0.00234091
0x997733382b5713534ec8fc9c72a86f7bf4b6ac5aa2b956643656f1ac76d98f24,Transfer,19305028,0 ETH,0.00132599
0x7f0ec1f415fa9eedcbf8cb0ec68d17abaa2ac507333b9c2c016f129433ad2476,Transfer,19305028,0 ETH,0.00111724
0x5a0b22199033b46e5bb6f680a2aa84519b7c5824561ea98e18de152389e93bac,Transfer,19305028,0 ETH,0.00195048
0xcb5b851a4582f550ab0f798e9c39e4ee9518ceb23fea87b6a2178092ab28e6c4,0xc658695c,19305028,0 ETH,0.00259171
0x0838e5d07250cc69a33da58968cb48c7484cb55ec582e1501228dbb6eb740c7b,0x0000005f,19305028,0 ETH,0.00544766
0xef9abfb306ff0000d219747f786105623bb416eecdc350af536d6881767aad3d,Transfer,19305028,0 ETH,0.00175316
0x84da71f2fea3062fa7efdf05aa73f296d990f6fa688d8ae5cfc84d63c7117c9d,Execute,19305028,0.15 ETH,0.00669453
0x5bdb9e65fc42ff725db5b526ef37ea36d408553859a1daddbc32a51f16c469dd,Execute,19305028,0.0233 ETH,0.00432289
0xb814d436408481f9b58cf3722eda0c6d2c953b3e8ff252d37e0a445507923902,Execute,19305028,0.35 ETH,0.00528389
0x1ef6ada38b824bdd61da74ce7e1f74721c046e8e1a05ef70446cb995b00f1de0,Approve,19305028,0 ETH,0.0017992
0xbca89cfc51ba454c2051d5eaecfd8bc70537c5118a01c648981f42d13eef3f41,Approve,19305028,0 ETH,0.00179862
0xdd7fa1a28e70ad023d84cb22d12ec150236671c4fda4d1c5eeb8f24a751cbb03,Swap Exact ETH F...,19305028,0.1 ETH,0.00624059
0x4a0cbfebed76f49c99d10d4486e5d24b4f55226978c2b17206a9ff8f3c37302d,Swap Exact Token...,19305028,0 ETH,0.00591332
0x4bb3980e9735925fc65c86eb543ee80592550f31ab7a94559717d677ad0c6702,Finalize Withdra...,19305028,0 ETH,0.04730579
0x09de4a7ec07f2d01495af07ca72b82292c6250a0fcbdec60bd38fc713c65e4ac,Purchase Token W...,19305028,0.165 ETH,0.00438252
0x2307d46bee4a0de87fac3aef575e7aedff42c6202aa2809fa99d1454f538349e,Swap Exact ETH F...,19305028,0.03 ETH,0.00644723
0xa1bb6192d1c263582fd573fd23646f0c9d2d74f8e2f590132b0ce6c480af7556,Transfer,19305028,3.6 ETH,0.00084897
0x937f55e8ea6faaf18377465f9dc810ea85cfb85793d0a6bbdca3ae691f9e8ed8,Transfer,19305028,0 ETH,0.0022264
0x5fa37a893ed35556904a1a95e74e5b8b6c1292e477ed7e568d12f8ef362bf9f9,Mint,19305028,0 ETH,0.00228333
0xb7dba7b5fb112bb408cee8f0f4a86588ddea513174d0465242794acbceb13599,Transfer,19305028,0 ETH,0.00168649
0x39841276f54d8bdf4a7cbfae9fe46c638fc7be5111696140d88fe1ee947aa1a4,Transfer,19305028,0.1 ETH,0.00086389
0x53a221625e4ee91ae1ec39d87da6bfdd29db1f6e7ed382d37745be1cbdcfea7f,0x68cdab9c,19305028,0 ETH,0.00645625
0x2ac46270b937d69f1e5df2261010120c30ce49b434fa2fcced74b5afd2d140de,Approve,19305028,0 ETH,0.00195138
0x1f2320a9093509b0048ac7dee3cb3fc201d343226a2ebc4da77a35440571102d,Transfer,19305028,0.03551609 ETH,0.00089319
0x3ebaf34b67558ea7a99df9dbc55cd4f0f0662505c93dce884765ad7ed201fc16,Validate Transac...,19305028,0 ETH,0.0063656
0xf112b34df47a7799322dfa7979027a9d2301316e21e2b5e78264bb4daf3b7eb3,0x75713a08,19305028,0 ETH,0.00756216
0x92f9210af905ece8e86a47dd69a592b37137eeda21b6035aeaaa93e9c873466b,0x00000002,19305028,0 ETH,0.00388806
0x14c2ee3c24d438fa30845f896580788b297bc71c10278a621788f5eb3ab8b60e,Transfer,19305028,0.059304749 ETH,0.00149725
0xd40cc1e97a1bada3b9ca1a2f49cffd2366806f197087d6b74dad2bde53488325,Transfer,19305027,0.035875498 ETH,0.0009738
0xb2bb2b1e4df15cd9a530e83cff72b49f59915ef407e4f856aeba2bdc89132c80,Transfer,19305027,0.163101487 ETH,0.00076928
0x093ef555c0dce1594e6239aad35de745615c30eedd882636806eff1abbc20cc6,Transfer,19305027,0 ETH,0.00190858
0xcb7b19d83d9087f91b353f6507171509175aaa1205ccf8e484634c57417dcb58,Transfer,19305027,0.111150947 ETH,0.00080744
0x274a2238b468a1d0dbff85e8a23a97f1be1b09675eade23edab0d825b564c32c,Transfer,19305027,0 ETH,0.00241031
0xae3771d0da2fc02784b54ed4725fb84dc67b79bc7cc76c31f42fca8334f5e0e5,Execute,19305027,0 ETH,0.00089087
0x6218ec8f880059611796a227ce4e81dee740252a65b7cc8766eb7480b312f98a,Bridge Asset,19305027,0.01 ETH,0.00531568
0x0baf2b00d46a4adc858ae62df5e29c6f5bfadd405d2e7956ce89e9bc4d19483e,Deposit ETH,19305027,0.145 ETH,0.00342322
0x4ca9d7bba09a6d3f17a404881179f26984e856bc4db2d3387208c87c29735f06,Transfer,19305027,0.018 ETH,0.00074894
0x845d439128aa111065c2632c1ae061ac00512e11086ec4fdde428c3a2e2adc5f,Execute,19305027,0.33 ETH,0.00621989
0xfbd859e661e8174ee8b6290b3420485fd6daeeb9f61d6ae43fe7a98640d0378d,Stake,19305027,0 ETH,0.00234662
0x58cbe403a9b1582279f4c109487692d40cc1945984c14df6908a7898ce021796,Execute Swap,19305027,0 ETH,0.00164799
0xd5ccb3ca0c0c1ff87e5e123b4ea22f673b94894bbe6cb0b5b267bf63c37558c4,Fill Otc Order F...,19305027,0 ETH,0.00398827
